ID,Review,Aspects,Sentiment
1,"It might be the best sit down food I've had in the area, so if you are going to the upright citizen brigade, or the garden, it could be just the place for you.","food, place","positive, neutral"
2,Hostess was extremely accommodating when we arrived an hour early for our reservation.,"staff, miscellaneous","positive, neutral"
3,"We were a couple of minutes late for our reservation and minus one guest, but we didn't think we deserved the attitude we got from the hostess.","miscellaneous, staff","neutral, negative"
4,"Though the service might be a little slow, the waitresses are very friendly.","service, staff","negative, positive"
5,"Although we arrived at the restaurant 10 min late, the hostess did not have a table for us.","staff, miscellaneous","negative, neutral"
6,I like the smaller portion size for dinner.,"miscellaneous, food","negative, neutral"
7,"The bill was surprisingly inexpensive considering we each had appetizers, an entree, dessert and drinks (alcoholic and non) we also had 3 rounds of shots for the entire table.","food, price, miscellaneous","neutral, positive, neutral"
8,") other food is served in too-small portions, but at least it leaves room for dessert.","miscellaneous, food","negative, neutral"
9,"It was very loud, I felt too crowded, the man chair's next to me made it impossible for the waiters to pass.","miscellaneous, staff","neutral, negative"
10,"After ordering drinks, we both decided on the Paella Vallenciana, brought out on hot plates.","food, miscellaneous","neutral, positive"
11,Portions are fairly generous and the staff brings out multiple little bites and treats throughout dinner.,"miscellaneous, staff, food","positive, positive, neutral"
12,I had to ask for bread for the table (several times).,"food, miscellaneous","negative, neutral"
13,"Specialty drinks--alcoholic and non--arrive in skull mugs or mini-canteens, nifty take-home souvenirs.","food, miscellaneous","neutral, positive"
14,After reading other reviews I was expecting poor service and ambience but was pleasantly surprised by our more than helpful waiter.,"service, staff","negative, positive"
15,I was told by the hostess that a specific table would be mine once the customers left and I waited 45 minutes for that to happen.,"staff, miscellaneous","negative, neutral"
16,"Towards the end of our meal, a server came out, apparently our orders had been double-filled.","food, staff","neutral, negative"
17,"The Food The casual Middle Eastern menu looks familar, but the food--made to order in the open kitchen--is a notch above its peers.","menu, place","positive, neutral"
18,"Upon entering, I was impressed by the room while the food on other peoples' tables seemed enticing.","food, place","neutral, positive"
19,"The beginning of the meal wasnt bad, the hostess was very nice, we got our drinks about every 10 minutes and the appetizers we good.","staff, food","positive, neutral"
20,"I found that the food variety was great, and the waitress was very accommodating to my vegan boyfriend describing all items' ingredients and how you may request more of what YOU like, creating a unique experience.","food, staff, ambience","positive, positive, neutral"
21,"Came recommended to us, but we found the food to be so-so, the service good, but we were told we could not order desert since the table we were at had a reservation waiting.","food, service","negative, neutral"
22,"Our waitress couldn't tell us what was in the seafood special, forgot to put in our oyster order so it came at the same time as the main meals, wasn't able to provide a confident recommendation from the menu, and had to be flagged several times for drinks.","staff, food, menu","negative, neutral, neutral"
23,I went back (with my cold soups) They said they would have to make me another dish since they couldn't scrape off the unwanted ingredients.,"food, ambience","neutral, negative"
24,"Server's were extremely nice, yet were socializing too much with friends that were having drinks at the bar and it was difficult to get their attention.","staff, place","positive, neutral"
25,"And there wasn't much room for the people at the bar to stand either, as the restaurant attempted to squeeze as many tables into the restaurant as they could, forcing those dining to have to shift in their chairs every time a waiter attempted to get by.","place, food, miscellaneous, staff","neutral, neutral, neutral, negative"
26,"Went for an early V-Day dinner, only to be highly disappointed by the service.","food, service","neutral, negative"
27,Before our food arrived I asked our waitress if we could be moved and she just stared blankly at me.,"food, staff","neutral, negative"
28,The service is excellent -- the staff is attentive and the waitress was well-informed about the menu.,"service, staff, menu","positive, positive, neutral"
29,"I still go often, but the prices went up a little and the service is even slower now that they're always full during dinner hours.","price, food","negative, neutral"
30,"It is the only all Austrian wine list in the country and the waitress gladly broke it down for me, so I could find just the right wine for my meal.","food, staff","neutral, positive"
31,its a cool place to come with a bunch of people or with a date for maybe a mild dinner or some drinks.,"place, food","positive, neutral"
32,The final blow was when the waiter brought us the check before we had even finished dessert--never mind that the only reason we were taking a long time to finish the meal was because of the extreme delay in the service of our food.,"staff, food, service","negative, neutral, negative"
33,"worst margaritas in town,if you are going to order a battle of (white wine)they served hot.","food, service","negative, neutral"
34,"They served the main course before the appetizers eventhough we asked for the latter first, to which our waiter responded that they don't serve them separately without telling us beforehand while ordering.","food, staff","neutral, negative"
35,"After requesting to be seated at an empty table, the waitress (who was so terribly burdened when we asked to move from the bar to the table to have dinner) asked us to get up from our seats and wait for a smaller table because a party of 3 just walked in.","staff, place, food","negative, neutral, neutral"
36,"The place wasn't at all busy, and we were shown a table in the back, given our menus, and promptly forgotten about.","place, menu","negative, neutral"
37,"Although the service can be a bit brusque at times, the food is always good, hearty and hot.","service, food","negative, positive"
38,"The Food Despite a menu that seems larger than the restaurant, great care goes into the preparation of every dish.","food, menu","positive, neutral"
39,Cornelia Street looks like a Broadway set for West Side Story and the inside of Po is so cool quaint you really can't top the setting for a romantic dinner in NYC.,"ambience, food","neutral, positive"
40,"Be warned that this place can get pretty crowded, though the $3 bloody mary's at the bar and the killer DJ make the wait more than bearable.","place, staff","neutral, negative"
41,"As if that wasnt enough, after another in the group mentioned that a portion of the sushi on her plate was not what she had ordered, the waiter came back with chopsticks and started to remove it (as she was eating!)","miscellaneous, food, staff","neutral, neutral, negative"
42,We started with the guacamole and this is by far the best I've ever had bar none.,"food, place","positive, neutral"
43,"If you eat here, just keep in mind that the specials are much higher than the regular menu when ordering.","food, menu","positive, neutral"
44,The waiter was just throwing our dishes on the table without even clearing the appetizer plates and then they started clearing the food when we weren't even finished yet.,"staff, food, miscellaneous","negative, neutral, neutral"
45,"Before we can even order desert, the waitress comes and tells us we have to leave because the host wanted our table.","staff, miscellaneous","negative, neutral"
46,the tables are in the back and the ambience was less to be desired.,"place, ambience","neutral, negative"
47,"While service is still ok, the food has been not up to par on my last few visits.","service, food","positive, negative"
48,"After the wine experience, I actually expected worse than what was served.","food, service","neutral, negative"
49,I dined in the Main Dining Room which is surrounded by authentic Spanish decorations.,"place, ambience","neutral, positive"
50,"Our server did not check on us, ask if we needed anything, refill our water or get our dessert order right.","staff, food","negative, neutral"
51,"On ouor visit, our reservation was ignored and then we were asked to move from our seats at the bar, where we were told to wait, because we were not drinking enough.","miscellaneous, place","negative, neutral"
52,"The food at Cafe Asean is to die for, and the prices are unmatchable.","food, price","positive, negative"
53,"The Scene The entrance leads into a dim, narrow bar decorated with sake bottles, exposed brick and a beautiful arched wooden ceiling.","miscellaneous, place, food","positive, negative, neutral"
54,It also has great ice cream and spumoni ices.,"food, miscellaneous","positive, neutral"
55,"However, the drinks are very good and this place is alright for brunch, if you don't mind sitting in a very cramped spot and/or waiting on line.","food, miscellaneous, service","positive, negative, negative"
56,The ONLY negative was when we asked the waiter to secretly bring birthday cake and some other desserts for the table.,"staff, miscellaneous","negative, neutral"
57,"Sometimes, the take-out and seating lines can be long, but the staff help move things along.","food, miscellaneous, staff","neutral, neutral, positive"
58,"I went to Sushiden on a Friday night around 8:00, the place was pretty empty, we had reservations, but we didnt need them.","place, miscellaneous","negative, neutral"
59,THE DECOR HAS BEEN UPDATED TO A FULL BLOWN RESTAURANT BUT THE QUALITY AND THE QUANTITY HASN'T CHANGED.,"ambience, miscellaneous","positive, negative"
60,"A+  was planning a party for my staff, and was treated rudely by another restaurant when trying to add more people to reservation (a simple no would have worked).","staff, miscellaneous","negative, neutral"
61,"The Food Regulars swear by the tamales, which are spongy, well-seasoned and pulled from steaming crocks on the counter.","food, place","positive, neutral"
62,"Unfortunately, the food along with the unhelpful service doesn't make up for the atmosphere.","food, service, ambience","neutral, negative, neutral"
63,"They expanded the seating with a cozy new back section, added some great new dishes (I had the most fantastic j erk Shrimp and exciting maize crusted salmon) but kept everything that was good (amazing staff and Mac Jack!)","place, food, staff","neutral, positive, positive"
64,Not to mention that the busboy spilled 2 glasses of water on my back and the Manager was NOWHERE TO BE SEEN.,"staff, food","negative, neutral"
65,"Smiling servers quiz diners with movie trivia, but forget to fill their water glasses.","staff, price, miscellaneous","positive, neutral, neutral"
66,"The waiter was miffed when we decided to order dessert (and I must say we were eating the courses as they arrived, no lingering).","staff, food","negative, neutral"
67,"Heck even if they had awful service and atmosphere I would still come to this place for their dumplings, luckly that is not the case.","service, ambience, food","negative, negative, positive"
68,Chef Anthony is warm and is always fixing up something unique and tasty in the kitchen to send to your table.,"staff, miscellaneous","positive, neutral"
69,"The menu features classic French bistro fare, like steamed mussels with French fries and hangar steak with a green peppercorn sauce.","menu, food","neutral, positive"
70,"Had an after-work drink at the bar with a date, loved the place so much we came back for brunch the next morning.","food, place","neutral, positive"
71,The food was served promptly and was really hot.,"food, service","positive, neutral"
72,"The kitchen is open and surrounded by bar seating (the only kind of seating), and they have a nice set-up where the waitress stays behind the bar and the chefs deliver your food after you have watched them prepare it.","place, service, staff, food","positive, neutral, positive, neutral"
73,I had been to Blue Fin previously for drinks and appetizers and thought the atmosphere was very good (expecially for people watching).,"food, ambience","neutral, positive"
74,"The bar downstairs is a lot of fun, so if you get stuck waiting, just have drink.","service, food","negative, neutral"
75,"The atmosphere was nice (tables were a bit too close together) and trendy, but waiters seemed rushed.","ambience, place","positive, negative"
76,We recently had brunch at this establishment with two other couples and I have to say I was majorly dissapointed with the service and how we were treated.,"food, service","neutral, negative"
77,"Although our waitress was pleasant and accomdating, the overpriced food was quite the opposite.","staff, food","positive, negative"
78,Their desserts were limited - I mean REALLY limited to 2 items (nothing like the online menu).,"food, menu","negative, neutral"
79,"My group got charged an outrageuos $63/person for a family-style dinner, including a 23% tip added for the horrible service.","food, service","neutral, negative"
80,Bartenders look like model wannabes and threw out my friend's beer before he was finished (about 1/4 left).,"staff, food","negative, neutral"
81,Perhaps if the owner manager would concentrate more on service then acting as a dj this restaurant would run better.,"staff, service","neutral, negative"
82,"The food at Parish was tasy and well-prepared, but the portions were absurdly miniscule, especially in proportion to the prices.","food, miscellaneous, price","positive, negative, negative"
83,There is actually space to breathe and the decor sets the tone for an intimate dinner.,"place, ambience, food","neutral, positive, positive"
84,The atmosphere was really nice and inviting but our waiter was awful!,"ambience, staff","positive, negative"
85,"I always listen to the waiters' recommendations, because they're always awesome - either a special or just one of their faves off the menu.","staff, menu","positive, neutral"
86,"The decor is sparse and elegant, the service warm (though my waitress was occasionally difficult to find), and the sushi fresh.","ambience, service, staff","positive, positive, negative"
87,I waited 15 minutes for the waiter to take the bill from me and finally I got fed up with him walking past our table I had to start waving the bill in the air and finally some other waitress took our bill.,"staff, ambience","negative, neutral"
88,"Yes, the wait is long and ridiculous as times, especially as you watch others gobble down their food.","service, food","negative, neutral"
89,"considering the prices on the menu, i'd rather go somewhere else where they know how to refill water and real chairs for everyone, something you can even get at mcdonald's.","price, menu, food, miscellaneous","neutral, neutral, neutral, positive"
90,It was practically impossible to get the waitstaff's attention to order another bottle of wine.,"staff, food","negative, neutral"
91,"After spending over $500 on a business dinner, a manager knelt down at our table and asked us to quote, wrap it up and move to the bar.","food, staff, miscellaneous, place","neutral, negative, neutral, neutral"
92,"Friendly staff happily accepted a reservation (for 10), and when only 6 showed up, they couldn't have been more understanding!","staff, miscellaneous","positive, neutral"
93,"At our table we didn't get any bread until 30 minutes into the seating, which may I emphasize the waiter took really long to come to our table, about 20 minutes.","place, staff","neutral, negative"
94,"Recently I purchased a dish to go, and found that all of my meal contained just one large piece of ginger root.","food, miscellaneous","neutral, negative"
95,The numbness in your lower legs from sitting on old wood chairs is more than compensated by the wonderful food.,"miscellaneous, food","negative, positive"
96,"We were able to reserve a spot at the chef tasting bar with Morimoto who actually called in sick that night, but we were still charged full price.","place, price","positive, negative"
97,Went here for a casual Sunday night dinner at 7:45pm; dinner was served at 10:15pm!,"miscellaneous, service","neutral, negative"
98,"Then, the waitress gave my wife coffee with regular milk in it even though my wife specifically requested Soy Milk.","staff, food","negative, neutral"
99,I thought I'd give the new place a try since it had an expanded menu and a more legit look.,"place, menu","neutral, positive"
100,*There is a pre-theatre dinner menu for early diners that is of great value.,"menu, price","positive, neutral"
101,"The prixe fix menu was a deal to boost downtown restaurants, atleast we didn't pay the full price.","menu, price","positive, negative"
102,"The steak au poivre certainly lives up to its lofty reputation, but it shuoldn't overshadow many of the other delicacies on the menu, such as the crab cakes and the frisee salad.","food, menu","positive, neutral"
103,"Waiter was a strange bird and when told we wanted to enjoy our dining experience and not be rushed through dinner, he assured us it takes 30 minutes to get entrees once food was ordered.","staff, food","negative, positive"
104,"This is not haute cuisine, but that' part of what I love about it - it has an honest, intimate feel with no pretensions, just like eating in an Italian family's home.","food, miscellaneous","negative, positive"
105,"The food was so-so and you would think it was a french resturant, the portions were so tiny.","food, miscellaneous","neutral, negative"
106,Eventually another waiter cleaned up the table and allowed us to sit there.,"staff, miscellaneous","positive, neutral"
107,"However the hostess completely ignored us, we waited 40 min at the bar (even with reservation), our waitress was incredibly uninterested in us (never even offered dessert menus) and the somelier could have taken a look at the label before he made a mistake about his favorite wine.","staff, place, miscellaneous","negative, neutral, neutral"
108,seems everyone ordered sushi there were tons of delivery orders (we can tell as we sat near the back).,"food, service","neutral, positive"
109,small price to pay to have dinner on a Saturday night in downtown Manhattan.,"price, food","positive, neutral"
110,"The Scene Flanked by a diner-style bar on one side and glass cases of sweets on the other, General Store resembles a cozy mom-and-pop rest stop on the way through Pennsylvania Dutch country--minus the cheesy gift shop.","miscellaneous, place","positive, neutral"
111,"Since it's a small place, it's best to get there early for dinner as the wait can be quite long if you don't make a reservation.","service, miscellaneous","negative, neutral"
112,The interior is understated making it special enough to take a date but easy enough to stop in anytime for dinner or snack.,"place, food","positive, neutral"
113,"The prices are incredibly reasonable, especially considering the HUGE portions - by noodle soup could have fed both my husband and myself.","miscellaneous, food","positive, neutral"
114,"There is a huge line, usually a 45 minute wait; they take no reservations and no tables of more than five people.","service, miscellaneous, place","neutral, negative, negative"
115,"The pizzas are a MUST TRY, hence the name.","food, miscellaneous","positive, neutral"
116,The situation was verified by taking 3 dishes that were over an hour late off the bill and free desserts and coffee but the experience left most of us never wanting to go to the supposed hip cool 66 ever again.,"food, price","positive, neutral"
117,"I went there with family and even though we had reservations, we were seated 30 minutes late, the food took 45 minutes to arrive and when I got the wrong order, I had a hard time trying to find the server.","miscellaneous, food, staff","neutral, neutral, negative"
118,"The wait was much shorter than the hostess quoted, which was great.","service, staff","positive, neutral"
119,"Though the menu is brief, entrees range from a deeply satisfying, wintry seared calf's liver with oven-dried tomatoes to a much lighter striped bass drizzled with textbook perfect beurre blanc.","menu, food","neutral, positive"
120,"When we got our food, the waitress barely said a word as she placed our take-out on the table and grabbed the check.","food, staff, price","neutral, negative, neutral"
121,Dropped in for a quick bite with a friend -- like the previous reviewer it took more than 15 minutes for any kind of service at all (including getting water) and then another 45 minutes to get a burger (which admittedly was good).,"service, food","negative, neutral"
122,"However, it takes ages to get seated (even with a reservation), and the waiters don't seem very knowledgeable about the menu (or receptive to questions).","miscellaneous, staff","neutral, negative"
123,"The only complaint I have is that the tables for 2 along the booth are very close together so it wasn't as romantic a dinner as we wanted but all in all, we were in our own world, more like in heaven.","place, food","neutral, negative"
124,"Ok the manager did stand at the bar the whole time looking like his wife left him, he lost all his money at the track and had been drinking the rest of the day.","staff, place","negative, neutral"
125,"We complained to our waiter serveral times about this and the stares continued and to top it all off as the manager walked around to each table asking if they enjoyed their dinner, he conveniently did not ask us!","staff, miscellaneous, food","neutral, neutral, positive"
126,He is a gracious chef who comes to the table and greets the guests.,"staff, miscellaneous","positive, neutral"
127,"By dessert, I gave up and sat there hopelessly watching as my rice pudding was snatched away half eaten, only to be replaced immediately with a hefty bill.","food, price","neutral, negative"
128,The waiter said they mixed it up because there were three similar things on the menu.,"staff, menu","negative, neutral"
129,") Scores of employees walking around, but no one seems to clear a plate or offer more drinks.","staff, food","negative, neutral"
130,"The manager also managed to insult one of my dining partners, even using an expletive to mock his last name when returning his credit card.","staff, food","negative, neutral"
131,Once we were seated our water order was taken promptly but they never came back with a menu.,"miscellaneous, menu","positive, negative"
132,"The waiter told us that he had checked with the kitchen because he noticed that we had not gotten our dinners and they said it would be out shortly, shouldn't someone have said something to us?","staff, food","negative, neutral"
133,"First of all, I think our service person was miffed that we couldn't order much for apps or drinks since we had already started at the bar.","service, food, place","negative, neutral, neutral"
134,"You have to be comfortable eating with your hands, sharing the same plate with your friends and be able to handle spicy food (not as spicy as some thai dishes though).","miscellaneous, food","neutral, positive"
135,"however, we went for lunch and were the only ones eating there and yet the service seemed eager for us to be done and to get out.","food, service","neutral, negative"
136,"Although the service was top notch, all of the food was disappointing: burnt octopus, bland ravioli, odd tasting mint love letters.","service, food","positive, negative"
137,The portions were overly generous for both the apps and entrees without sacrificing the quality.,"miscellaneous, food","negative, positive"
138,"We arrived on a Thursday night at 6:30 and were seated immediately (they don't take reservations), but, this small place filled up very quickly, and the bar was overflowing with people when we left.","miscellaneous, place","neutral, negative"
139,"The place was packed, but it didn't effect our service or getting our food/drinks promptly.","place, service","negative, positive"
